modelcode,modelname,modelvariant,modelfamilycode,modelinfo,isenabled,createdat,createdby,updatedat,updatedby,modeldisplayname
zeo_v1cargo,Zeo,V1 CARGO,zeo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/zeo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/zeo.png"",""modelmanual"":"""",""brochurespecs"":{""range"":""232"",""battery_capacity"":""21.3"",""co2_emission_factor"":""129""}}",,"""2025-06-25T12:04:10.116Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:41:37.121Z""",e2500964-be53-4d5f-964c-c05804593f91,Mahindra Zeo
zeo_v1dv,Zeo,V1 DV,zeo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/zeo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/zeo_dv.png"",""modelmanual"":"""",""brochurespecs"":{""range"":""232"",""battery_capacity"":""21.3"",""co2_emission_factor"":""129""}}",,"""2025-06-25T12:04:10.180Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:41:44.835Z""",e2500964-be53-4d5f-964c-c05804593f91,Mahindra Zeo
zor_dv,Zor,DV,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo_zor_dv.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/zor/zor-2025.pdf"",""brochurespecs"":{""range"":""80"",""battery_capacity"":""7.37"",""co2_emission_factor"":""131.61""}}",,"""2025-06-25T12:04:13.346Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:52:21.931Z""",e2500964-be53-4d5f-964c-c05804593f91,Treo Zor
treo_sft,Treo,sft,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo/treo-2025.pdf"",""brochurespecs"":{""range"":""110"",""battery_capacity"":""7.37"",""co2_emission_factor"":""73.8""}}",,"""2025-06-25T12:04:10.826Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:45:11.512Z""",e2500964-be53-4d5f-964c-c05804593f91,Treo
treoyaari100ah_default,Treo Yaari 100AH,default,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo_yaari.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo-yaari/treo-yaari-2025.pdf"",""brochurespecs"":{""range"":""85"",""battery_capacity"":""3.685"",""co2_emission_factor"":""73.8""}}",,"""2025-06-25T12:04:13.012Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:51:06.782Z""",e2500964-be53-4d5f-964c-c05804593f91,Treo Yaari
treoyaari_sft,Treo Yaari,SFT,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo_yaari.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo-yaari/treo-yaari-2025.pdf"",""brochurespecs"":{""range"":""85"",""battery_capacity"":""3.685"",""co2_emission_factor"":""73.8""}}",,"""2025-06-25T12:04:12.947Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:51:00.748Z""",e2500964-be53-4d5f-964c-c05804593f91,Treo Yaari
treoyaari_erickstn,Treo Yaari,ERICK ST N,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo_yaari.png"",""modelmanual"":"""",""brochurespecs"":{""range"":""85"",""battery_capacity"":""3.685"",""co2_emission_factor"":""73.8""}}",,"""2025-06-25T12:04:12.825Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:50:37.334Z""",e2500964-be53-4d5f-964c-c05804593f91,Treo Yaari
treo2.0_hrt,Treo2.0,HRT,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo/treo-2025.pdf"",""brochurespecs"":{""range"":""110"",""battery_capacity"":""7.37"",""co2_emission_factor"":""73.8""}}",,"""2025-06-25T12:04:11.306Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:47:13.914Z""",e2500964-be53-4d5f-964c-c05804593f91,Treo
treo2.0_pu,Treo2.0,PU,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo_yaari_cargo_2.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo/treo-2025.pdf"",""brochurespecs"":{""range"":""110"",""battery_capacity"":""7.37"",""co2_emission_factor"":""73.8""}}",,"""2025-06-25T12:04:11.458Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:47:20.786Z""",e2500964-be53-4d5f-964c-c05804593f91,Treo
zorgrand_dvplus,ZorGrand,DVPlus,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/zor_grand_dv.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/zor-grand/zor-grand-2025.pdf"",""brochurespecs"":{""range"":""100"",""battery_capacity"":""10.24"",""co2_emission_factor"":""131.61""}}",,"""2025-06-25T12:04:14.085Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:53:28.057Z""",e2500964-be53-4d5f-964c-c05804593f91,Zor Grand
zorgrand_pu,ZorGrand,PU,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/zor_grand_pu.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/zor-grand/zor-grand-2025.pdf"",""brochurespecs"":{""range"":""100"",""battery_capacity"":""10.24"",""co2_emission_factor"":""131.61""}}",,"""2025-06-25T12:04:14.144Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:53:32.618Z""",e2500964-be53-4d5f-964c-c05804593f91,Zor Grand
zorgrand_zorgrandfbr,ZorGrand,ZOR GRAND FB R,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/zor_grand_pu.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/zor-grand/zor-grand-2025.pdf"",""brochurespecs"":{""range"":""100"",""battery_capacity"":""10.24"",""co2_emission_factor"":""131.61""}}",,"""2025-06-25T12:04:14.213Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:53:37.897Z""",e2500964-be53-4d5f-964c-c05804593f91,Zor Grand
zeo_v2cargo,Zeo,V2 CARGO,zeo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/zeo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/zeo_dv.png"",""modelmanual"":"""",""brochurespecs"":{""range"":""232"",""battery_capacity"":""21.3"",""co2_emission_factor"":""129""}}",,"""2025-06-25T12:04:10.238Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:42:05.825Z""",e2500964-be53-4d5f-964c-c05804593f91,Mahindra Zeo
zeo_v2dv,Zeo,V2 DV,zeo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/zeo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/zeo_dv.png"",""modelmanual"":"""",""brochurespecs"":{""range"":""232"",""battery_capacity"":""21.3"",""co2_emission_factor"":""129""}}",,"""2025-06-25T12:04:10.297Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:42:17.645Z""",e2500964-be53-4d5f-964c-c05804593f91,Mahindra Zeo
treo2_163ah_163ah,Treo2_163ah,163ah,treo,"{""modelicon"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/map/icons/v1/treo.svg"",""modelimage"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-images/primary/small/v1/treo.png"",""modelmanual"":""https://d15u4dbb8gfonu.cloudfront.net/nemo3-vehicle-manuals/reference-guides/treo/treo/treo-2025.pdf"",""brochurespecs"":{""range"":""136"",""battery_capacity"":""8.34"",""co2_emission_factor"":""94.82""}}",,"""2025-06-25T12:04:12.095Z""",e2500964-be53-4d5f-964c-c05804593f91,"""2025-07-07T14:49:00.907Z""",e2500964-be53-4d5f-964c-c05804593f91,Treo
