citycode,cityname
MUZAFFARPUR,MUZAFFARPUR
FARIDABAD,FARIDABAD
MURSHIDABAD,MURSHIDABAD
CALICUT,CALICUT
GODDA,GODDA
SAHARANPUR,SAHARANPUR
YAVATMAL,YAVATMAL
LAKSAR,LAKSAR
BETTIAH,BETTIAH
HOOGHLY,HOOGHLY
KOPPAL,KOPPAL
FEROZEPUR,FEROZEPUR
BHARATPUR,BHARATPUR
RAGHURAJNAGAR,RAGHURAJNAGAR
JAMSHEDPUR,JAMSHEDPUR
SILCHAR,SILCHAR
ASHTA,ASHTA
NANPARA,NANPARA
CHURCHU,CHURCHU
ETAH,ETAH
PUNE,PUNE
TIKAMGARH,TIKAMGARH
KHED,KHED
NORTH SOLAPUR,NORTH SOLAPUR
BHONGAON,BHONGAON
KANNUR,KANNUR
KARANJIA,KARANJIA
NAGPUR,NAGPUR
ALUVA,ALUVA
HANDIA,HANDIA
NAUGACHIA,NAUGACHIA
CHURU,CHURU
KHAMMAM,KHAMMAM
VADODARA,VADODARA
ALWAR,ALWAR
KAPURTHALA,KAPURTHALA
JHUNJHUNU,JHUNJHUNU
GOPALGANJ,GOPALGANJ
AGARTALA,AGARTALA
DHAMTARI,DHAMTARI
NALGONDA,NALGONDA
JODHPUR,JODHPUR
GAZIPUR,GAZIPUR
SALEM,SALEM
BOKAJAN,BOKAJAN
FATWA,FATWA
BENCH DEVICE,BENCH DEVICE
JAIPUR,JAIPUR
NORTH LAKHIMPUR,NORTH LAKHIMPUR
KISHANGANJ,KISHANGANJ
ORAI,ORAI
BARGUNA,BARGUNA
VAISHALI,VAISHALI
KARTHIKAPPALLY,KARTHIKAPPALLY
DIBRUGARH,DIBRUGARH
GURUGRAM,GURUGRAM
VIJAYAWADA,VIJAYAWADA
WARANGAL,WARANGAL
KANIGIRI,KANIGIRI
NONGPOH,NONGPOH
OLD MALDAH,OLD MALDAH
BHONGIR,BHONGIR
DAMAN,DAMAN
MUZAFFARNAGAR,MUZAFFARNAGAR
AJMER,AJMER
HAMIRPUR,HAMIRPUR
BAREILLY,BAREILLY
GONDIA,GONDIA
"BASUDEO PUR, DARBHANGA","BASUDEO PUR, DARBHANGA"
BEED,BEED
SUPAUL,SUPAUL
HALDWANI,HALDWANI
SALCETE,SALCETE
PATNA SADAR,PATNA SADAR
RANCHI,RANCHI
MALEGAON,MALEGAON
ONGOLE,ONGOLE
CHANDAULI,CHANDAULI
NASHIK,NASHIK
KOTA,KOTA
PATNA,PATNA
CHHATARPUR,CHHATARPUR
NOIDA,NOIDA
REWARI,REWARI
ALAPPUZHA,ALAPPUZHA
KATNI,KATNI
ARARIA,ARARIA
SANGOLA,SANGOLA
SRIKAKULAM,SRIKAKULAM
DEVANAHALLI,DEVANAHALLI
GAYA,GAYA
AKOLA,AKOLA
BARSHI,BARSHI
AMBIKAPUR,AMBIKAPUR
AMRITSAR,AMRITSAR
ITARSI,ITARSI
PRATAPGARH,PRATAPGARH
KANGRA,KANGRA
GUWAHATI,GUWAHATI
RAIPUR,RAIPUR
LUCKNOW,LUCKNOW
RAJAHMUNDRY,RAJAHMUNDRY
SONAPUR BLOCK,SONAPUR BLOCK
BELONIA,BELONIA
PANIPAT,PANIPAT
DURG,DURG
COIMBATORE,COIMBATORE
ABU ROAD,ABU ROAD
BANKA,BANKA
DEOGARH,DEOGARH
MADURAI,MADURAI
BHADOHI,BHADOHI
SANEPA,SANEPA
BHIWANDI,BHIWANDI
SEHORE,SEHORE
KAGAL,KAGAL
DEOGHAR,DEOGHAR
SAMBALPUR,SAMBALPUR
HOSKOTE,HOSKOTE
NELLORE,NELLORE
SULTANPUR,SULTANPUR
HISAR,HISAR
ALIGARH,ALIGARH
SHAHDOL,SHAHDOL
PALANI,PALANI
ANEKAL,ANEKAL
GUNA,GUNA
SONGADH,SONGADH
RISHIKESH,RISHIKESH
DIKRONG,DIKRONG
BELGAUM,BELGAUM
ANANTAPUR,ANANTAPUR
UNCHAHAR,UNCHAHAR
AHMADPUR,AHMADPUR
GANGAVATI,GANGAVATI
SRIKAKULAM MANDAL,SRIKAKULAM MANDAL
SATARA,SATARA
DALMAU,DALMAU
CUDDALORE,CUDDALORE
MIRAJ,MIRAJ
KANPUR,KANPUR
RAJKOT,RAJKOT
OOTY,OOTY
KIRAOLI,KIRAOLI
MYSORE,MYSORE
SINGRAULI,SINGRAULI
SIVASAGAR,SIVASAGAR
TAMBARAM,TAMBARAM
GONDA,GONDA
BARDHAMAN,BARDHAMAN
KOTDWARA,KOTDWARA
JEHANABAD,JEHANABAD
VISAKHAPATNAM,VISAKHAPATNAM
CANNING,CANNING
BHADRAK,BHADRAK
DAHOD,DAHOD
TEZPUR,TEZPUR
JALNA,JALNA
SADAR,SADAR
MORADABAD,MORADABAD
BISWANATH CHARIALI,BISWANATH CHARIALI
MORSHI,MORSHI
PUDUCHERRY,PUDUCHERRY
PALANPUR,PALANPUR
PONNERI,PONNERI
MUMBAI,MUMBAI
JAORA,JAORA
ARVI,ARVI
PONDICHERRY,PONDICHERRY
SANGAMNER,SANGAMNER
BARRACKPORE,BARRACKPORE
BERHAMPUR,BERHAMPUR
CARNICOBAR,CARNICOBAR
BIKRAMGANJ,BIKRAMGANJ
JEYPORE,JEYPORE
PATIALA,PATIALA
TUMKUR,TUMKUR
VELLORE,VELLORE
CHINGLEPET,CHINGLEPET
RURA,RURA
MEHEM,MEHEM
NANDED,NANDED
FIROZABAD,FIROZABAD
CHHINDWARA,CHHINDWARA
UJJAIN,UJJAIN
NAVI MUMBAI,NAVI MUMBAI
PURBA SINGHBHUM,PURBA SINGHBHUM
PARBHANI,PARBHANI
HIMATNAGAR,HIMATNAGAR
BIJNOR,BIJNOR
KOTTAYAM,KOTTAYAM
GHAZIPUR,GHAZIPUR
BARISAL,BARISAL
MANJERI,MANJERI
DHANBAD,DHANBAD
DELHI,DELHI
SARUPETA,SARUPETA
ENGLISHBAZAR,ENGLISHBAZAR
PALGHAR,PALGHAR
BIKAPUR,BIKAPUR
BHAWANIPATNA,BHAWANIPATNA
THANE,THANE
PERINTHALMANNA,PERINTHALMANNA
PATHANAMTHITTA,PATHANAMTHITTA
PURULIA,PURULIA
KUMBAKONAM,KUMBAKONAM
AGRA,AGRA
CHALLAKERE,CHALLAKERE
JHALRA PATAN CITY,JHALRA PATAN CITY
SURAT,SURAT
UNA,UNA
PALAKKAD,PALAKKAD
VASAI,VASAI
GOALPARA,GOALPARA
CUTTACK,CUTTACK
MAHBUBNAGAR,MAHBUBNAGAR
CHENNAI,CHENNAI
SIRSA,SIRSA
KRISHNA,KRISHNA
SOUTH TRIPURA,SOUTH TRIPURA
BARSAR,BARSAR
KENDUJHAR,KENDUJHAR
JEWAR,JEWAR
ANAND,ANAND
JAGDALPUR,JAGDALPUR
BARAMATI,BARAMATI
SIWAN,SIWAN
BELLARY,BELLARY
NAGAUR,NAGAUR
RAJAURI,RAJAURI
PHULWARI,PHULWARI
RAJOLI,RAJOLI
CHIRAYINKEEZHU,CHIRAYINKEEZHU
CHITTORGARH,CHITTORGARH
CUDDAPAH,CUDDAPAH
RANGAREDDY,RANGAREDDY
DHOLKA,DHOLKA
KOLLAM,KOLLAM
TIRUPATI,TIRUPATI
ANKLESHWAR,ANKLESHWAR
NAGAON,NAGAON
KOZHIKODE,KOZHIKODE
KHAIRABAD,KHAIRABAD
KHORDHA,KHORDHA
FAIZABAD,FAIZABAD
AHMEDABAD,AHMEDABAD
CHANDIGARH,CHANDIGARH
NARNAUL,NARNAUL
HAJIPUR,HAJIPUR
HOSHIARPUR,HOSHIARPUR
HAILAKANDI,HAILAKANDI
NOAPARA,NOAPARA
JALANDHAR,JALANDHAR
DHULE,DHULE
CHHAPRAULA,CHHAPRAULA
PURNIA,PURNIA
BANGALORE,BANGALORE
BOMBAY,BOMBAY
CALCUTTA,CALCUTTA
MADRAS,MADRAS
BENARES,BENARES
CAWNPORE,CAWNPORE
POONA,POONA
BARODA,BARODA
TRIVANDRUM,TRIVANDRUM
COCHIN,COCHIN
ALLAHABAD,ALLAHABAD
GAUHATI,GAUHATI
OOTACAMUND,OOTACAMUND
TANJORE,TANJORE
TRICHINOPOLY,TRICHINOPOLY
TUTICORIN,TUTICORIN
QUILON,QUILON
PALGHAT,PALGHAT
CANNANORE,CANNANORE
TRICHUR,TRICHUR
ALEPPEY,ALEPPEY
SIMLA,SIMLA
JUBBULPORE,JUBBULPORE
BELGAUM,BELGAUM
GULBARGA,GULBARGA
BELLARY,BELLARY
RAICHUR,RAICHUR
TUMKUR,TUMKUR
DAVANGERE,DAVANGERE
UDUPI,UDUPI
KOLAR,KOLAR
